"Timestamp","What age bracket are you in?","What websites/applications do you think provide recommendations for you?","Are you aware that the items you see on these applications are personalised to satisfy your tastes?","How often do you get recommendations that you think are irrelevant?","How often do you find yourself getting frustrated when you can't find anything you like on these applications?","Would you be willing to tell these applications which items you have consumed in the past to receive better recommendations? "
"2020/05/13 12:02:37 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 12:03:13 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:04:36 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 12:04:48 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:04:54 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:05:29 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Often","Never","Yes, providing I know that my data is safe"
"2020/05/13 12:05:44 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Often","Sometimes","No"
"2020/05/13 12:06:23 PM GMT+1","18 - 29","Movie/TV Streaming Apps","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:07:00 PM GMT+1","18 - 29","Movie/TV Streaming Apps;E-Commerce Websites","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:08:13 PM GMT+1","18 - 29","Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 12:08:51 PM GMT+1","18 - 29","E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","No"
"2020/05/13 12:10:26 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:10:51 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;News Websites;Social Media Platforms","Yes","Often","Never","No"
"2020/05/13 12:11:22 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;News Websites","Yes","Often","Never","No"
"2020/05/13 12:12:11 PM GMT+1","18 - 29","E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Often","Yes, providing I know that my data is safe"
"2020/05/13 12:14:06 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Never","No"
"2020/05/13 12:14:22 PM GMT+1","18 - 29","Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:14:35 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:14:40 PM GMT+1","18 - 29","E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","No"
"2020/05/13 12:14:56 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Never","No"
"2020/05/13 12:15:31 PM GMT+1","18 - 29","Social Media Platforms","No","Often","Often","Yes, providing I know that my data is safe"
"2020/05/13 12:15:56 PM GMT+1","18 - 29","News Websites;Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:17:03 PM GMT+1","18 - 29","Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
